                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47241,                 2.9268,                 1.0784,                0.00357,                      1,                0.35491,                0.28943,                0.52285,                 3.6308,                 1.2709,               0.000225,               0.000225,               0.000225
                      2,                0.44691,                 2.1041,                  1.045,                0.36979,                0.23094,                0.42888,                0.28985,                0.79457,                 3.3973,                 1.5573,             0.00045334,             0.00045334,             0.00045334
                      3,                0.46148,                  1.617,                 1.0353,                0.69299,                0.60264,                0.63955,                0.45891,                0.78916,                 3.3562,                 1.4768,             0.00067228,             0.00067228,             0.00067228
                      4,                0.47051,                 1.4525,                 1.0443,                0.71225,                0.76698,                0.85169,                0.47815,                  1.058,                 2.9637,                 1.7281,             0.00088181,             0.00088181,             0.00088181
                      5,                0.48551,                 1.3316,                 1.0494,                 0.8386,                0.89321,                0.93194,                0.69742,                0.71697,                 2.1978,                 1.4159,              0.0010819,              0.0010819,              0.0010819
                      6,                0.52619,                 1.2678,                 1.0681,                0.81944,                0.77864,                0.83618,                 0.6904,                0.63026,                 2.0831,                   1.34,              0.0011263,              0.0011263,              0.0011263
                      7,                0.53708,                  1.283,                 1.0547,                0.78329,                0.78909,                0.83495,                0.69845,                0.61876,                  2.036,                 1.2728,              0.0011263,              0.0011263,              0.0011263
                      8,                0.48255,                 1.1715,                 1.0431,                0.79473,                0.81667,                0.89728,                0.71977,                0.60469,                 1.8755,                 1.3343,              0.0011015,              0.0011015,              0.0011015
                      9,                0.48728,                 1.1196,                 1.0408,                0.88249,                0.92536,                0.96126,                 0.8499,                0.53722,                 1.4267,                 1.2118,              0.0010768,              0.0010768,              0.0010768
                     10,                0.45453,                 1.0337,                 1.0223,                 0.8499,                0.85417,                0.89379,                 0.7167,                0.75662,                 1.7629,                  1.571,               0.001052,               0.001052,               0.001052
                     11,                 0.4383,                0.97337,                 1.0143,                0.92245,                0.93741,                0.97711,                0.84043,                0.53582,                 1.3213,                 1.2137,              0.0010273,              0.0010273,              0.0010273
                     12,                0.44954,                  1.033,                  1.028,                0.88569,                 0.8313,                0.95692,                0.84311,                0.54706,                 1.3878,                 1.2171,              0.0010025,              0.0010025,              0.0010025
                     13,                0.43175,                0.99199,                 1.0034,                0.91073,                0.91417,                0.95474,                 0.8132,                0.64651,                 1.3019,                 1.3735,             0.00097775,             0.00097775,             0.00097775
                     14,                0.41674,                 0.9071,                 1.0158,                 0.8646,                0.90833,                 0.9573,                0.86922,                0.48081,                 1.1765,                  1.164,               0.000953,               0.000953,               0.000953
                     15,                0.41303,                0.92685,                0.99321,                0.90546,                0.95666,                0.97893,                0.89987,                0.42611,                0.99291,                 1.1163,             0.00092825,             0.00092825,             0.00092825
                     16,                0.38565,                0.84042,                0.97844,                0.86511,                0.87909,                0.96975,                  0.871,                0.45445,                 1.2623,                 1.1259,              0.0009035,              0.0009035,              0.0009035
